   #Clust  Clust1:     Clust2:    Dist. based

    13       1           3              0.601
    13       1           4              0.181
    13       1           5              0.838
    13       1           6              0.574
    13       1           7              0.718
    13       1           8              0.786
    13       1           9              0.726
    13       1          10              0.810
    13       1          11              0.689
    13       1          12              0.337
    13       1          13              0.750
    13       2           3              0.839
    13       2           4              0.776
    13       2           5              0.756
    13       2           6              0.783
    13       2           7              0.753
    13       2           8              0.575
    13       2           9              0.912
    13       2          10              0.454
    13       2          11              0.874
    13       2          12              0.857
    13       2          13              0.827
    13       3           4              0.654
    13       3           5              0.817
    13       3           6              0.414
    13       3           7              0.673
    13       3           8              0.759
    13       3           9              0.774
    13       3          10              0.824
    13       3          11              0.661
    13       3          12              0.558
    13       3          13              0.553
    13       4           5              0.805
    13       4           6              0.485
    13       4           7              0.651
    13       4           8              0.696
    13       4           9              0.809
    13       4          10              0.777
    13       4          11              0.769
    13       4          12              0.631
    13       4          13              0.731
    13       5           6              0.747
    13       5           7              0.665
    13       5           8              0.461
    13       5           9              0.902
    13       5          10              0.549
    13       5          11              0.867
    13       5          12              0.848
    13       5          13              0.728
    13       6           7              0.315
    13       6           8              0.623
    13       6           9              0.824
    13       6          10              0.757
    13       6          11              0.764
    13       6          12              0.676
    13       6          13              0.429
    13       7           8              0.377
    13       7           9              0.864
    13       7          10              0.682
    13       7          11              0.818
    13       7          12              0.769
    13       7          13              0.522
    13       8           9              0.876
    13       8          10              0.295
    13       8          11              0.840
    13       8          12              0.814
    13       8          13              0.694
    13       9          10              0.901
    13       9          11              0.320
    13       9          12              0.402
    13       9          13              0.858
    13      10          11              0.870
    13      10          12              0.845
    13      10          13              0.785
    13      11          12              0.382
    13      11          13              0.801
    13      12          13              0.761

    14       1           2              0.817
    14       1           3              0.601
    14       1           4              0.181
    14       1           5              0.838
    14       1           6              0.574
    14       1           7              0.718
    14       1           8              0.786
    14       1           9              0.712
    14       1          10              0.810
    14       1          11              0.719
    14       1          12              0.591
    14       1          13              0.750
    14       1          14              0.407
    14       2           3              0.839
    14       2           4              0.776
    14       2           5              0.756
    14       2           6              0.783
    14       2           7              0.753
